country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Ecuador,2019,0.868,1.312,0.912,0.498,0.126,0.087,,6.028
Kuwait,2019,0.808,1.319,1.5,0.493,0.142,0.097,,6.021
Thailand,2019,0.828,1.409,1.05,0.557,0.359,0.028,,6.008
Latvia,2019,0.812,1.465,1.187,0.264,0.075,0.064,,5.94
South Korea,2019,1.036,1.219,1.301,0.159,0.175,0.056,,5.895
Estonia,2019,0.874,1.528,1.237,0.495,0.103,0.161,,5.893
Jamaica,2019,0.831,1.478,0.831,0.49,0.107,0.028,,5.89
Mauritius,2019,0.798,1.402,1.12,0.498,0.215,0.06,,5.888
Japan,2019,1.088,1.419,1.327,0.445,0.069,0.14,,5.886
Honduras,2019,0.828,1.236,0.642,0.507,0.246,0.078,,5.86
Kazakhstan,2019,0.729,1.508,1.173,0.41,0.146,0.096,,5.809
Bolivia,2019,0.706,1.209,0.776,0.511,0.137,0.064,,5.779
Hungary,2019,0.828,1.41,1.201,0.199,0.081,0.02,,5.758
Paraguay,2019,0.777,1.475,0.855,0.514,0.184,0.08,,5.743
Northern Cyprus,2019,1.042,1.252,1.263,0.417,0.191,0.162,,5.718
Peru,2019,0.854,1.274,0.96,0.455,0.083,0.027,,5.697
Portugal,2019,0.999,1.431,1.221,0.508,0.047,0.025,,5.693
Pakistan,2019,0.535,0.886,0.677,0.313,0.22,0.098,,5.653
Russia,2019,0.726,1.452,1.183,0.334,0.082,0.031,,5.648
Philippines,2019,0.657,1.293,0.807,0.558,0.117,0.107,,5.631
Serbia,2019,0.854,1.383,1.004,0.282,0.137,0.039,,5.603
Moldova,2019,0.739,1.328,0.685,0.245,0.181,0,,5.529
Libya,2019,0.673,1.303,1.044,0.416,0.133,0.152,,5.525
Montenegro,2019,0.871,1.361,1.051,0.197,0.142,0.08,,5.523
Tajikistan,2019,0.718,1.098,0.493,0.389,0.23,0.144,,5.467
Croatia,2019,0.914,1.266,1.155,0.296,0.119,0.022,,5.432
Hong Kong,2019,1.122,1.277,1.438,0.44,0.258,0.287,,5.43
Dominican Republic,2019,0.779,1.401,1.015,0.497,0.113,0.101,,5.425
Bosnia and Herzegovina,2019,0.845,1.212,0.945,0.212,0.263,0.006,,5.386
Turkey,2019,0.808,1.36,1.183,0.195,0.083,0.106,,5.373
Malaysia,2019,0.828,1.171,1.221,0.508,0.26,0.024,,5.339
Belarus,2019,0.789,1.465,1.067,0.235,0.094,0.142,,5.323
Greece,2019,0.999,1.156,1.181,0.067,0,0.034,,5.287
Mongolia,2019,0.667,1.531,0.948,0.317,0.235,0.038,,5.285
North Macedonia,2019,0.838,1.294,0.983,0.345,0.185,0.034,,5.274
Nigeria,2019,0.245,1.111,0.696,0.426,0.215,0.041,,5.265
Kyrgyzstan,2019,0.723,1.438,0.551,0.508,0.3,0.023,,5.261
Turkmenistan,2019,0.657,1.538,1.052,0.394,0.244,0.028,,5.247
Algeria,2019,0.785,1.16,1.002,0.086,0.073,0.114,,5.211
Morocco,2019,0.782,0.782,0.801,0.418,0.036,0.076,,5.208
Azerbaijan,2019,0.769,1.147,1.043,0.351,0.035,0.182,,5.208
Lebanon,2019,0.815,1.224,0.987,0.216,0.166,0.027,,5.197
Indonesia,2019,0.66,1.203,0.931,0.491,0.498,0.028,,5.192
China,2019,0.893,1.125,1.029,0.521,0.058,0.1,,5.191
Vietnam,2019,0.851,1.346,0.741,0.543,0.147,0.073,,5.175
Bhutan,2019,0.604,1.321,0.813,0.457,0.37,0.167,,5.082
Cameroon,2019,0.331,0.91,0.549,0.381,0.187,0.037,,5.044
Bulgaria,2019,0.815,1.513,1.092,0.311,0.081,0.004,,5.011
Ghana,2019,0.486,0.868,0.611,0.381,0.245,0.04,,4.996
Ivory Coast,2019,0.232,0.808,0.569,0.352,0.154,0.09,,4.944
Nepal,2019,0.677,1.226,0.446,0.439,0.285,0.089,,4.913
Jordan,2019,0.815,1.225,0.837,0.383,0.11,0.13,,4.906
Benin,2019,0.397,0.437,0.393,0.349,0.175,0.082,,4.883
Congo (Brazzaville),2019,0.508,0.799,0.673,0.372,0.105,0.093,,4.812
Gabon,2019,0.571,1.183,1.057,0.295,0.043,0.055,,4.799
Laos,2019,0.551,1.03,0.764,0.547,0.266,0.164,,4.796
South Africa,2019,0.469,1.351,0.96,0.389,0.13,0.055,,4.722
Albania,2019,0.874,0.848,0.947,0.383,0.178,0.027,,4.719
Venezuela,2019,0.805,1.427,0.96,0.154,0.064,0.047,,4.707
Cambodia,2019,0.637,1.122,0.574,0.609,0.232,0.062,,4.7
Palestinian Territories,2019,0.672,1.247,0.657,0.225,0.103,0.066,,4.696
Senegal,2019,0.571,1.134,0.45,0.292,0.153,0.072,,4.681
Somalia,2019,0.268,0.698,0,0.559,0.243,0.27,,4.668
Namibia,2019,0.477,1.313,0.879,0.401,0.07,0.056,,4.639
Niger,2019,0.366,0.774,0.138,0.318,0.188,0.102,,4.628
Burkina Faso,2019,0.38,1.056,0.331,0.255,0.177,0.113,,4.587
Armenia,2019,0.815,1.055,0.85,0.283,0.095,0.064,,4.559
Iran,2019,0.785,0.842,1.1,0.305,0.27,0.125,,4.548
Guinea,2019,0.375,0.829,0.38,0.332,0.207,0.086,,4.534
Georgia,2019,0.752,0.666,0.886,0.346,0.043,0.164,,4.519
Gambia,2019,0.428,0.939,0.308,0.382,0.269,0.167,,4.516
Kenya,2019,0.581,0.983,0.512,0.431,0.372,0.053,,4.509
Mauritania,2019,0.489,1.167,0.57,0.066,0.106,0.088,,4.49
Mozambique,2019,0.39,0.986,0.204,0.494,0.197,0.138,,4.466
Tunisia,2019,0.815,1,0.921,0.167,0.059,0.055,,4.461
Bangladesh,2019,0.723,0.928,0.562,0.527,0.166,0.143,,4.456
Iraq,2019,0.574,0.98,1.043,0.241,0.148,0.089,,4.437
Congo (Kinshasa),2019,0.357,1.125,0.094,0.269,0.212,0.053,,4.418
Mali,2019,0.308,1.105,0.385,0.327,0.153,0.052,,4.39
Sierra Leone,2019,0.242,0.841,0.268,0.309,0.252,0.045,,4.374
Sri Lanka,2019,0.831,1.265,0.949,0.47,0.244,0.047,,4.366
Myanmar,2019,0.555,1.181,0.71,0.525,0.566,0.172,,4.36
Chad,2019,0.192,0.766,0.35,0.174,0.198,0.078,,4.35
Ukraine,2019,0.739,1.39,0.82,0.178,0.187,0.01,,4.332
Ethiopia,2019,0.532,1.033,0.336,0.344,0.209,0.1,,4.286
Swaziland,2019,0,1.149,0.811,0.313,0.074,0.135,,4.212
Uganda,2019,0.443,1.069,0.332,0.356,0.252,0.06,,4.189
Egypt,2019,0.644,1.039,0.913,0.241,0.076,0.067,,4.166
Zambia,2019,0.426,1.058,0.578,0.431,0.247,0.087,,4.107
Togo,2019,0.41,0.572,0.275,0.293,0.177,0.085,,4.085
India,2019,0.588,0.765,0.755,0.498,0.2,0.085,,4.015
Liberia,2019,0.443,0.922,0.073,0.37,0.233,0.033,,3.975
Comoros,2019,0.505,0.757,0.274,0.142,0.275,0.078,,3.973
Madagascar,2019,0.555,0.916,0.274,0.148,0.169,0.041,,3.933
Lesotho,2019,0.168,1.169,0.489,0.359,0.107,0.093,,3.802
Burundi,2019,0.38,0.447,0.046,0.22,0.176,0.18,,3.775
Zimbabwe,2019,0.433,1.114,0.366,0.361,0.151,0.089,,3.663
Haiti,2019,0.449,0.688,0.323,0.026,0.419,0.11,,3.597
Botswana,2019,0.538,1.145,1.041,0.455,0.025,0.1,,3.488
Syria,2019,0.44,0.378,0.619,0.013,0.331,0.141,,3.462
Malawi,2019,0.495,0.56,0.191,0.443,0.218,0.089,,3.41
Yemen,2019,0.463,1.163,0.287,0.143,0.108,0.077,,3.38
Rwanda,2019,0.614,0.711,0.359,0.555,0.217,0.411,,3.334
Tanzania,2019,0.499,0.885,0.476,0.417,0.276,0.147,,3.231
Afghanistan,2019,0.361,0.517,0.35,0,0.158,0.025,,3.203
Central African Republic,2019,0.105,0,0.026,0.225,0.235,0.035,,3.083
South Sudan,2019,0.295,0.575,0.306,0.01,0.202,0.091,,2.853
