country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Libya,2015,0.7038,1.11862,1.13145,0.41668,0.18295,0.11023,2.09066,5.754
Russia,2015,0.66926,1.23617,1.13764,0.36679,0.00199,0.03005,2.27394,5.716
Jamaica,2015,0.68741,1.15102,0.81038,0.50442,0.2123,0.02299,2.32038,5.709
North Cyprus,2015,0.92356,1.07008,1.20806,0.49027,0.26169,0.1428,1.59888,5.695
Cyprus,2015,0.92356,0.89318,1.20813,0.40672,0.30638,0.06146,1.88931,5.689
Algeria,2015,0.61766,1.07772,0.93929,0.28579,0.07822,0.17383,2.43209,5.605
Kosovo,2015,0.63132,0.81198,0.80148,0.24749,0.2831,0.04741,2.76579,5.589
Turkmenistan,2015,0.53886,1.22668,0.95847,0.4761,0.16979,0.30844,1.86984,5.548
Mauritius,2015,0.7095,0.98521,1.00761,0.56066,0.37744,0.07521,1.76145,5.477
Hong Kong,2015,1.01328,1.05818,1.38604,0.59608,0.39478,0.37124,0.65429,5.474
Estonia,2015,0.77361,1.22791,1.15174,0.44888,0.0868,0.15184,1.58782,5.429
Indonesia,2015,0.63793,1.08708,0.82827,0.46611,0.51535,0,1.86399,5.399
Vietnam,2015,0.74676,0.91226,0.63216,0.59444,0.1686,0.10441,2.20173,5.36
Turkey,2015,0.73172,0.94632,1.06098,0.22815,0.12253,0.15746,2.08528,5.332
Kyrgyzstan,2015,0.65088,1.15115,0.47428,0.43477,0.3003,0.04232,2.2327,5.286
Nigeria,2015,0.16007,0.90432,0.65435,0.34334,0.27233,0.0403,2.89319,5.268
Bhutan,2015,0.57407,1.10395,0.77042,0.53206,0.47998,0.15445,1.63794,5.253
Azerbaijan,2015,0.64045,0.93793,1.02389,0.3703,0.07799,0.16065,2.00073,5.212
Pakistan,2015,0.51466,0.41411,0.59543,0.12102,0.33671,0.10464,3.10709,5.194
Jordan,2015,0.69639,1.05392,0.90198,0.40661,0.11053,0.14293,1.87996,5.192
Montenegro,2015,0.72521,0.90557,0.97438,0.1826,0.1614,0.14296,2.10017,5.192
China,2015,0.81658,0.94675,0.89012,0.51697,0.08185,0.02781,1.8604,5.14
Zambia,2015,0.29924,0.91612,0.47038,0.48827,0.19591,0.12468,2.6343,5.129
Romania,2015,0.7689,0.88588,1.04345,0.35068,0.13748,0.00649,1.93129,5.124
Serbia,2015,0.74836,1.00964,0.92053,0.20107,0.19231,0.02617,2.025,5.123
Portugal,2015,0.87519,1.13935,1.15991,0.51469,0.13719,0.01078,1.26462,5.102
Latvia,2015,0.72437,1.09562,1.11312,0.29671,0.18226,0.06332,1.62215,5.098
Philippines,2015,0.58114,1.03516,0.70532,0.62545,0.24991,0.12279,1.7536,5.073
Somaliland region,2015,0.43873,0.95152,0.18847,0.46582,0.50318,0.39928,2.11032,5.057
Morocco,2015,0.60954,0.64095,0.73479,0.41691,0.07172,0.08546,2.45373,5.013
Macedonia,2015,0.73545,1.00232,0.91851,0.33457,0.22359,0.05327,1.73933,5.007
Mozambique,2015,0.09131,1.02626,0.08308,0.34037,0.22269,0.15603,3.05137,4.971
Albania,2015,0.81325,0.80434,0.87867,0.35733,0.14272,0.06413,1.89894,4.959
Bosnia and Herzegovina,2015,0.79081,0.91916,0.83223,0.09245,0.24808,0.00227,2.06367,4.949
Lesotho,2015,0.07612,1.04103,0.37545,0.31767,0.16388,0.12504,2.79832,4.898
Dominican Republic,2015,0.66825,1.17202,0.89537,0.57672,0.21684,0.14234,1.21305,4.885
Laos,2015,0.54909,0.73803,0.59066,0.59591,0.42192,0.24249,1.73799,4.876
Mongolia,2015,0.60268,1.3006,0.82819,0.43626,0.3323,0.02666,1.34759,4.874
Swaziland,2015,0.07566,1.07284,0.71206,0.30658,0.18259,0.0306,2.48676,4.867
Greece,2015,0.88213,0.92933,1.15406,0.07699,0,0.01397,1.80101,4.857
Lebanon,2015,0.83947,0.80001,1.02564,0.33916,0.21854,0.04582,1.57059,4.839
Hungary,2015,0.75905,1.20215,1.12094,0.32112,0.128,0.02758,1.24074,4.8
Honduras,2015,0.6951,0.95348,0.59532,0.40148,0.23027,0.06825,1.84408,4.788
Tajikistan,2015,0.57379,0.85563,0.39047,0.47216,0.22974,0.15072,2.11399,4.786
Tunisia,2015,0.73793,0.60429,0.88113,0.26268,0.06431,0.06358,2.12466,4.739
Palestinian Territories,2015,0.66015,0.92558,0.59867,0.24499,0.11251,0.12905,2.04384,4.715
Bangladesh,2015,0.60164,0.43106,0.39753,0.4082,0.21222,0.12569,2.51767,4.694
Iran,2015,0.69805,0.54447,1.0088,0.30033,0.38086,0.05863,1.6944,4.686
Ukraine,2015,0.6739,1.20278,0.79907,0.25123,0.15275,0.02961,1.5714,4.681
Iraq,2015,0.60237,0.81889,0.98549,0,0.17922,0.13788,1.95335,4.677
South Africa,2015,0.27688,1.18468,0.92049,0.33207,0.11973,0.08884,1.71956,4.642
Ghana,2015,0.40132,0.67954,0.54558,0.42342,0.23087,0.04355,2.30919,4.633
Zimbabwe,2015,0.33475,1.03276,0.271,0.25861,0.18987,0.08079,2.44191,4.61
Liberia,2015,0.34201,0.78968,0.0712,0.28531,0.24362,0.06232,2.77729,4.571
India,2015,0.51529,0.38174,0.64499,0.39786,0.26475,0.08492,2.27513,4.565
Sudan,2015,0.36878,1.01404,0.52107,0.10081,0.19062,0.1466,2.20857,4.55
Haiti,2015,0.38847,0.74302,0.26673,0.24425,0.46187,0.17175,2.24173,4.518
Congo (Kinshasa),2015,0.09806,1.0012,0,0.22605,0.24834,0.07625,2.86712,4.517
Nepal,2015,0.56874,0.86449,0.35997,0.38282,0.32296,0.05907,1.95637,4.514
Ethiopia,2015,0.44055,0.60406,0.19073,0.4345,0.24325,0.15048,2.44876,4.512
Sierra Leone,2015,0,0.95571,0.33024,0.4084,0.21488,0.08786,2.51009,4.507
Mauritania,2015,0.35874,0.86908,0.45407,0.24232,0.219,0.17461,2.11773,4.436
Kenya,2015,0.41435,0.99876,0.36471,0.42215,0.37542,0.05839,1.78555,4.419
Djibouti,2015,0.36291,0.59207,0.44025,0.46074,0.18093,0.28105,2.05125,4.369
Armenia,2015,0.7299,0.77711,0.76821,0.19847,0.07855,0.039,1.75873,4.35
Botswana,2015,0.04776,1.10464,0.99355,0.49495,0.10461,0.12474,1.46181,4.332
Myanmar,2015,0.48246,0.70905,0.27108,0.44017,0.79588,0.19034,1.41805,4.307
Georgia,2015,0.72926,0.38562,0.7419,0.40577,0.05547,0.38331,1.59541,4.297
Malawi,2015,0.22562,0.41134,0.01604,0.43054,0.33128,0.06977,2.80791,4.292
Sri Lanka,2015,0.70806,1.01905,0.83524,0.53726,0.40828,0.09179,0.67108,4.271
Cameroon,2015,0.23402,0.88767,0.4225,0.49309,0.20618,0.05786,1.95071,4.252
Bulgaria,2015,0.76649,1.10614,1.01216,0.30587,0.11921,0.00872,0.89991,4.218
Egypt,2015,0.61712,0.747,0.8818,0.17288,0.11291,0.06324,1.59927,4.194
Yemen,2015,0.40064,0.68093,0.54649,0.35571,0.09131,0.07854,1.92313,4.077
Angola,2015,0.16683,0.8604,0.75778,0.10384,0.12344,0.07122,1.94939,4.033
Mali,2015,0.20583,1.03526,0.26074,0.38857,0.18798,0.12352,1.79293,3.995
Congo (Brazzaville),2015,0.31051,0.6629,0.67866,0.41466,0.12388,0.11686,1.68135,3.989
Comoros,2015,0.36315,0.79273,0.23906,0.22917,0.17441,0.199,1.95812,3.956
Uganda,2015,0.33861,1.13299,0.21102,0.45727,0.29066,0.07267,1.42766,3.931
Senegal,2015,0.4354,0.97619,0.36498,0.36772,0.20843,0.10713,1.44395,3.904
Gabon,2015,0.43372,0.90528,1.06024,0.31914,0.06822,0.11091,0.99895,3.896
Niger,2015,0.29707,0.77265,0.0694,0.47692,0.19387,0.15639,1.87877,3.845
Cambodia,2015,0.61114,0.62736,0.46038,0.66246,0.40359,0.07247,0.98195,3.819
Tanzania,2015,0.38215,1.00268,0.2852,0.32878,0.34377,0.05747,1.38079,3.781
Madagascar,2015,0.46721,0.66801,0.20824,0.19184,0.21333,0.08124,1.851,3.681
Central African Republic,2015,0.06699,0,0.0785,0.48879,0.23835,0.08289,2.7223,3.678
Chad,2015,0.1501,0.76062,0.34193,0.23501,0.18386,0.05269,1.94296,3.667
Guinea,2015,0.24009,0.46475,0.17417,0.37725,0.28657,0.12139,1.99172,3.656
Ivory Coast,2015,0.15185,0.77115,0.46534,0.46866,0.20165,0.17922,1.41723,3.655
Burkina Faso,2015,0.27125,0.85188,0.25812,0.39493,0.21747,0.12832,1.46494,3.587
Afghanistan,2015,0.30335,0.30285,0.31982,0.23414,0.3651,0.09719,1.9521,3.575
Rwanda,2015,0.42864,0.7737,0.22208,0.59201,0.22628,0.55191,0.67042,3.465
Benin,2015,0.3191,0.35386,0.28665,0.4845,0.1826,0.0801,1.63328,3.34
Syria,2015,0.72193,0.47489,0.6632,0.15684,0.47179,0.18906,0.32858,3.006
Burundi,2015,0.22396,0.41587,0.0153,0.1185,0.19727,0.10062,1.83302,2.905
Togo,2015,0.28443,0.13995,0.20868,0.36453,0.16681,0.10731,1.56726,2.839
